modelo,tipo,base_model,train_steps,final_loss,perplexity_aprox,bleu_1_aprox,bleu_2_aprox,bleu_3_aprox,bleu_4_aprox,rouge_1_precision_aprox,rouge_1_recall_aprox,rouge_1_f1_aprox,rouge_2_precision_aprox,rouge_2_recall_aprox,rouge_2_f1_aprox,rouge_l_precision_aprox,rouge_l_recall_aprox,rouge_l_f1_aprox,faithfulness_aprox,answer_relevance_aprox,plan_adherence_aprox,status
tiny_gpt2,causal,sshleifer/tiny-gpt2,1,10.49792194366455,36240.11537050034,0.17857142857142858,0.18518518518518517,0.11538461538461539,0.04,0.38461538461538464,0.5,0.4347826086956522,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.38461538461538464,0.5,0.4347826086956522,0.4347826086956522,0.17857142857142858,1.0,ok
tiny_random_gpt2,causal,hf-internal-testing/tiny-random-GPT2LMHeadModel,1,6.771446704864502,872.5733373944497,0.375,0.2857142857142857,0.16666666666666666,0.0,0.375,0.3,0.33333333333333326,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.375,0.3,0.33333333333333326,0.33333333333333326,0.375,1.0,ok
tiny_random_t5,seq2seq,hf-internal-testing/tiny-random-t5,1,7.00560188293457,1102.793607952544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ok
tiny_t5_random_2,seq2seq,hf-internal-testing/tiny-random-T5ForConditionalGeneration,1,10.376627922058105,32100.533279803603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ok
